,title,hits
240,아이브 레이의 번아웃,4509728
168,기강잡는 꼰유진 [아이브 안유진] in 지구오락실,4501425
84,"[쇼! 음악중심] 아이브 - 일레븐 (IVE - ELEVEN), MBC 211204 방송",4475752
141,IVE(아이브) - After LIKE @인기가요 inkigayo 20220828,4458676
62,아이브에게 처음 보는 악기를 주면 생기는 일 | 글로벌 빙고 Global Bingo | 아이브 IVE,4457318
380,K-I-T-S-C-H 😎 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,4340565
284,IVE After LIKE Lyrics (아이브 After LIKE 가사) (Color Coded Lyrics),4340426
67,I AM - 아이브 [더 시즌즈-박재범의 드라이브] | KBS 230416 방송,4253032
281,IVE 아이브 'LOVE DIVE' Teaser,4235119
483,만삭 임산부가 부르는 아이브 I AM 라이브🎤 #아이브 #IAM #임산부,4209585
80,[전참시] 무릎 부상에도 프로페셔널한 모습😍 IVE 아이브 'LOVE DIVE' 뮤직비디오 비하인드ㅣ#아이브 #러브다이브 MBC220409방송,4196768
422,아이브 - After Dive🤿(?),4196492
415,아이브 리즈 변천사 (데뷔전 ~ 현재) #아이브 #리즈 #아이브리즈,4168077
157,[안방1열 직캠4K] 아이브 'ELEVEN' 풀캠 (IVE Full Cam)│@SBS Inkigayo_2021.12.05.,4139688
352,"어서오십쇼, 이곳은 가사가 그대로 이뤄지는 아이브 수련회장입니다(~˘▾˘)~ #돌들의침묵 #IVE #아이브 #IAM #가사컴트루 #Shorts",4067477
172,[아이브] Kitsch 컨셉 이해못한 엔딩냥이 리즈,4053160
26,[MV] IVE(아이브) _ LOVE DIVE,4024380
337,밝게 빛이 나는 길을 찾아 👑 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,3996644
383,1위하고 I AM 앵콜 라이브 자신감 있게 지르는 아이브,3993572
315,LOVE DIVE 이세계아이돌 COVER - [IVE(아이브) - 러브다이브] (isegye idol),3988880
346,I HAVE IVE ✨🛫 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,3896204
398,논란중인 아이브 장원영 앵콜무대,3773185
36,IVE Kitsch Lyrics (아이브 키치 가사) (Color Coded Lyrics),3747068
160,어쩔 줄 모르는 매니저님ㅋㅋㅋㅋ (아이브 대기실),3711413
54,[아이브] I AM 안무 연습 1일차,3701095
299,일반인 여섯 명이 아이브 아이엠을 부른다면?,3666069
394,[아이브] 가사 속에 숨겨진 멤버들 이름...??,3587172
142,IVE - Kitsch | 아이브 - 키치 [THE SHOW 230418],3509656
