,title,hits
517,[뉴진스] 갑자기 강아지 등장,7335300
55,Hype boy - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220819 방송,7273667
40,NewJeans (뉴진스) Live @ Lollapalooza 2023 (Full Performance),7169295
381,[뉴진스] 뉴진스 무한도전 밈 모음 #newjeans #hypeboy #omg #뉴진스 #무한도전 #밈#shorts #ditto,7078064
135,Super Shy - NewJeans 뉴진스 [Music Bank] | KBS WORLD TV 230721,6873771
485,내 생일 파티에 너만 못 온 그날😤🎂#NewJeans #뉴진스#NewJeans_ETA #NewJeans_GetUp#Time_to_NewJeans,6801003
445,뉴진스 VS 아이브 영어실력 특징 ㄷㄷ,6763959
307,[단독샷캠4K] 뉴진스 'Hype Boy' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 220821,6665703
115,NewJeans (뉴진스) 'Hype Boy' (교차편집 Stage Mix),6655460
87,[뉴진스] 팜토튠,6585422
362,뮤직뱅크 출근길 with Ditto🦌#NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto #Year_of_NewJeans,6418125
196,[4K] NewJeans (뉴진스) Ditto (디토) 교차편집 (Stage Mix),6377701
358,[뉴진스] 혜인이 디토 폼,6322403
124,[릴레이댄스] NewJeans(뉴진스) - Attention (4K),6308807
305,"[리무진서비스] EP.46 뉴진스 하니 | NewJeans HANNI | OMG, Just A Feeling, 와르르 ♥, Lucky",6290431
336,뉴진스와 밀당 카메라📸 #shorts #NewJeans #뉴진스,6232490
497,현재 논란의 중심이된 뉴진스 아이폰 무대,6175236
144,클레이로 뉴진스 파워퍼프걸 해린 만들기💚 Sculpting NewJeans X Powerpuff girls with polymer clay,6135599
126,NewJeans (뉴진스) 'Zero' Performance Video,6039008
399,찐 여중생이 추는 NewJeans (뉴진스) 'Ditto' Dance Cover,6030861
389,대퓨님도 보고 놀랄 뉴진스의 프로아이돌 모먼트🐰,5966882
297,여돌 레전드 방송사고 (feat. 뉴진스),5852850
322,[뉴진스] 뮤비에서 혼자 안무 틀린 김민지ㅋㅋㅋㅋ,5825273
194,NewJeans (뉴진스) 'Hype Boy' Official MV (HYEIN ver.),5819156
109,파워퍼프걸로 변신한 뉴진스 🎀 𝙉𝙚𝙬𝙅𝙚𝙖𝙣𝙨 - 𝙉𝙚𝙬 𝙅𝙚𝙖𝙣𝙨 [한글 가사/해석],5805687
328,NewJeans (뉴진스) 'OMG' Dance Practice (Fix ver.),5775695
111,New Jeans - NewJeans [Music Bank] | KBS WORLD TV 230714,5726518
33,[MMA2023] NewJeans - FULL Performance | #NewJeans #SuperShy #ETA #CoolWithYou #GetUp #ASAP #MMA2023,5718162
146,NewJeans (뉴진스) 'Cookie' Dance Practice,5705576
80,[4K] NewJeans (뉴진스) OMG (오엠지) 교차편집 (Stage Mix),5690760
209,NewJeans(뉴진스) 'Hurt' Special Video,5602332
195,NewJeans (뉴진스) 'OMG' Official MV (Performance ver.2),5572561
341,뉴진스 쿠키 영어 가사 해석🍪 #쇼츠 #뉴진스 #쿠키 #newjeans #cookie #shorts,5568053
